STATION_NAME,YEAR,MONTH,DAY,PRCP,SNOW,TMAX,TMIN
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,1,13,20,-28,-156
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,2,0,0,-67,-167
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,3,0,0,-50,-178
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,4,0,0,22,-56
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,5,0,0,61,17
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,6,3,0,156,50
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,7,8,0,183,106
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,8,168,0,133,28
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,9,0,0,39,-11
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,10,76,0,67,0
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,11,3,0,22,-22
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,12,0,0,50,-39
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,13,0,0,28,-28
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,14,5,15,-28,-94
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,15,0,0,-33,-106
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,16,0,0,44,-67
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,17,20,5,6,-111
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,18,0,3,-28,-144
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,19,0,0,-144,-194
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,20,0,0,-122,-206
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,21,25,33,-28,-133
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,22,20,46,-17,-122
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,23,10,18,-100,-150
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,24,0,0,-122,-200
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,25,8,15,-67,-206
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,26,13,23,0,-72
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,27,0,0,17,-144
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,28,5,0,67,-67
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,29,51,46,89,-167
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,30,0,0,-111,-189
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2008,1,31,64,99,-33,-122
